型号,单核跑分,,型号,多核跑分,,型号,GPU性能
Apple A13 Bionic,,,Apple A13 Bionic,,,iPad (9th generation),13619
iPad Pro 12.9-inch (4th generation),1331,,iPad (9th generation),3853,,Apple A13 Bionic,
Apple A12Z Bionic,,,Apple A13 Bionic,,,iPhone 11 Pro Max,13595
iPad Pro (11-inch),1328,,iPhone 11 Pro,3823,,Apple A13 Bionic,
Apple A12X Bionic,,,Apple A13 Bionic,,,iPhone 11 Pro,13560
iPad Air (3rd generation),1326,,iPhone 11,3668,,Apple A13 Bionic,
Apple A12 Bionic,,,Apple A13 Bionic,,,iPhone 11,13409
iPad Pro 11-inch (2nd generation),1325,,iPhone SE (2nd generation),3034,,Apple A13 Bionic,
Apple A12Z Bionic,,,Apple A13 Bionic,,,iPhone SE (2nd generation),12759
iPad Pro (12.9-inch 3rd Generation),1322,,iPad Air (3rd generation),2947,,Apple A13 Bionic,
Apple A12X Bionic,,,Apple A12 Bionic,,,iPad Air (3rd generation),9659
iPad mini (5th generation),1321,,iPad mini (5th generation),2887,,Apple A12 Bionic,
Apple A12 Bionic,,,Apple A12 Bionic,,,iPad mini (5th generation),9373
iPad (8th generation),1304,,iPad (8th generation),2805,,Apple A12 Bionic,
Apple A12 Bionic,,,Apple A12 Bionic,,,iPad (8th generation),9148
iPhone XS Max,1287,,iPhone XS Max,2667,,Apple A12 Bionic,
Apple A12 Bionic,,,Apple A12 Bionic,,,iPad Pro (10.5-inch),8337
iPhone XS,1286,,iPhone XS,2660,,Apple A10X Fusion,
Apple A12 Bionic,,,Apple A12 Bionic,,,iPhone XS Max,8287
iPhone XR,1250,,iPhone XR,2273,,Apple A12 Bionic,
Apple A12 Bionic,,,Apple A12 Bionic,,,iPhone XS,8253
iPhone 8 Plus,1058,,iPhone 8 Plus,2271,,Apple A12 Bionic,
Apple A11 Bionic,,,Apple A11 Bionic,,,iPhone XR,8245
iPhone X,1055,,iPad Pro (12.9-inch 2nd Generation),2250,,Apple A12 Bionic,
Apple A11 Bionic,,,Apple A10X Fusion,,,iPad Pro (12.9-inch 2nd Generation),8061
iPhone 8,1034,,iPad Pro (10.5-inch),2210,,Apple A10X Fusion,
Apple A11 Bionic,,,Apple A10X Fusion,,,iPad Pro (12.9-inch),5844
iPad Pro (10.5-inch),941,,iPhone X,2054,,Apple A9X,
Apple A10X Fusion,,,Apple A11 Bionic,,,iPad Pro (9.7-inch),5665
iPad Pro (12.9-inch 2nd Generation),926,,iPhone 8,1697,,Apple A9X,
Apple A10X Fusion,,,Apple A11 Bionic,,,iPhone 8 Plus,5318
iPad (7th generation),860,,iPad (7th generation),1384,,Apple A11 Bionic,
Apple A10 Fusion,,,Apple A10 Fusion,,,iPhone X,5164
iPad (6th generation),829,,iPad Pro (12.9-inch),1250,,Apple A11 Bionic,
Apple A10 Fusion,,,Apple A9X,,,iPhone 8,4747
iPhone 7 Plus,816,,iPhone 7 Plus,1156,,Apple A11 Bionic,
Apple A10 Fusion,,,Apple A10 Fusion,,,iPad (6th generation),4310
iPhone 7,786,,iPad (6th generation),1140,,Apple A10 Fusion,
Apple A10 Fusion,,,Apple A10 Fusion,,,iPad (7th generation),4190
iPad Pro (12.9-inch),752,,iPad Pro (9.7-inch),1097,,Apple A10 Fusion,
Apple A9X,,,Apple A9X,,,iPhone 7 Plus,3851
iPad Pro (9.7-inch),738,,iPod (7th generation),1037,,Apple A10 Fusion,
Apple A9X,,,Apple A10 Fusion,,,iPhone 7,3708
iPad (5th generation),630,,iPad (5th generation),965,,Apple A10 Fusion,
Apple A9,,,Apple A9,,,iPad (5th generation),3092
iPod (7th generation),630,,iPhone 7,963,,Apple A9,
Apple A10 Fusion,,,Apple A10 Fusion,,,iPhone 6s Plus,2848
iPhone SE 第一代,618,,iPad Air 2,949,,Apple A9,
Apple A9,,,Apple A8X,,,iPod (7th generation),2843
iPhone 6s,605,,iPhone SE 第一代,933,,Apple A10 Fusion,
Apple A9,,,Apple A9,,,iPhone 6s,2818
iPhone 6s Plus,602,,iPhone 6s,876,,Apple A9,
Apple A9,,,Apple A9,,,iPhone SE 第一代,2764
iPad Air 2,441,,iPhone 6s Plus,857,,Apple A9,
Apple A8X,,,Apple A9,,,iPad Air 2,762
iPad mini 4,413,,iPad mini 4,604,,Apple A8X,
Apple A8,,,Apple A8,,,iPad mini 4,554
,,,,,,Apple A8,
